,title,href,summary
10,Flere engelske udtryk lander i dag i Den Danske Ordbog,mailto:frpa@dr.dk,"I dag bliver Den Danske Ordbog opdateret, og her kommer ord, vendinger og udtryk fra det engelske sprog til at være hovedtemaet.'Blend', 'cloud', 'dramaqueen' og 'gameplay' er nogle af de ord, som fremover kommer til at stå i ordbogen. Det oplyser Det Danske Sprog- og Litteraturselskab (DSL), der udgiver ordbogen, i en pressemeddelelse.- Det er jo ingen hemmelighed, at engelsk er storleverandør af gloser til det danske sprog. Så når vi tager nye ord med i ordbogen, så kommer der en del fra engelsk, siger Lars Trap-Jensen, der er seniorredaktør ved DSL.Ordet blend kan på dansk oversættes til blanding. 'Cloud' er en samling servere, hvor store mængder data kan lagres og tilgås, mens en 'dramaqueen' dækker over en person, der ifølge ordbogen ofte reagerer voldsomt og følelsesladet.Med 'gameplay' menes der styring af et computerspil og måden, det opleves af spilleren på i forhold til tempo og variation.Der er samlet set blevet lavet 450 ændringer i den opdaterede udgave af Den Danske Ordbog."
11,Scholz er landet i Kina for at mødes med Xi - men møder kritik,mailto:frpa@dr.dk,"I dag er Tysklands forbundskansler, Olaf Scholz, taget til den kinesiske hovedstad, Beijing, hvor han har en række møder - herunder med den kinesiske præsident, Xi Jinping. Det skriver nyhedsbureauet dpa.Scholz bliver dermed den første vestlige leder til at mødes med Xi, efter at den kinesiske præsident i forrige weekend sikrede sig en tredje periode som generalsekretær i Kinas Kommunistiske Parti.Scholz er af sted sammen med en erhvervsdelegation bestående af et dusin topchefer fra blandt andet Volkswagen, BMW, BASF, Bayer og Deutsche Bank. De to landes økonomiske samarbejde er på dagsorden.Men det er ikke uden kritik, at Scholz tager til Kina. Forud for besøget opfordrede blandt andre kinesiske dissidenter og organisationen World Uyghur Congress til at aflyse det.Menneskerettighedsaktivister mener blandt andet, at Scholz indirekte støtter Xi Jinping og Kinas undertrykkelse af det muslimske uighur-mindretal i Xinjiang-provinsen."
12,Gravid kvinde dræbt af knivstik i Holbæk,mailto:frpa@dr.dk,"En 37-årig gravid kvinde er sent torsdag aften blevet dræbt af flere knivstik i Holbæk. På nuværende tidspunkt er barnet stadig i live. Det oplyser Midt- og Vestsjællands Politi i en pressemeddelelse.Kvinden var på vej hjem fra arbejde og sad i sin bil, da hun blev overfaldet af en endnu ukendt gerningsmand, der stak hende flere gange og trak hende ud af bilen.Et vidne forsøgte at gribe ind, men kunne ikke forhindre drabet.- Der er en forbipasserende kvinde, som forsøger at gribe ind og tager fat i gerningsmanden, men hun kan ikke forhindre drabet, siger vagtchefen til Ritzau.Gerningsmanden er stadig på fri fod, og politiet er her til morgen massivt til stede på Samsøvej, hvor drabet skete.- Vi har indledt en omfattende efterforskning. På nuværende tidspunkt har vi ikke mistanke til nogen konkret gerningsmand, og vi kan heller ikke endnu sige noget om, hvad der har været motivet til drabet, udtaler efterforskningsleder politikommissær Martin Eise Eriksen i pressemeddelelsen.Alle vidner, der har været i området omkring Samsøvej umiddelbart forud for gerningstidspunktet, eller som i øvrigt har bemærket personer eller køretøjer på stedet, bedes kontakte Midt- og Vestsjællands Politi på telefonnummer 114."
13,Nancy Pelosis mand er hjemme fra hospitalet efter overfald,mailto:NAHN@dr.dk,"En lille uge efter den amerikanske politiker Nancy Pelosis mand, Paul, blev overfaldet i deres hjem i San Francisco i USA er han blevet udskrevet.Det oplyser Nancy Pelosi, som er formand for Repræsentanternes Hus, ifølge nyhedsbureauet AP.- Paul forbliver under lægers pleje, mens han fortsætter med at udvikle sig i en lang genoptræningssproces. Nu er han hjemme, siger Nancy Pelosi.Paul Pelosi blev angrebet med blandt andet en hammer i parrets private hjem. Han er blevet opereret for kraniebrud.Gerningsmanden <a href=https://www.dr.dk/nyheder/seneste/fbi-efter-pelosi-angreb-42-aarig-ville-bortfoere-nancy-pelosi-og-smadre-hendes ville bortføre Nancy Pelosi.</a> Hun var ikke hjemme, da overfaldet skete."
14,FBI: Trusler mod synagoger i New Jersey,mailto:NAHN@dr.dk,"Der kan være en bred trussel mod synagoger i delstaten New Jersey.Det skriver det amerikanske forbundspolitis FBI's Newark-afdeling på Twitter.- FBI har modtaget troværdig information om en bred trussel mod synagoger i NJ. Vi beder på nuværende tidspunkt om, at I tager alle sikkerhedsforanstaltninger for at beskytte jeres lokalsamfund og faciliteter.- Vi deler mere information, så snart vi kan. Vær opmærksom. Ring til politiet i nødstilfælde, lyder det.Det vides ikke, hvilken form for trussel der er tale om.New Jerseys guvernør, Phil Murphy, siger ifølge CNN, at han er i kontakt med FBI, statens ministerium for indenrigssikkerhed og statsadvokaten.- Vi overvåger situationen nøje og arbejder med den lokale retshåndhævelse for at sikre, at alle bedehuse er beskyttet, skriver Murphy på Twitter.New Yorks politi har også udmeldt, at de samarbejder med en terror taskforce og FBI for at sikre sikkerheden og velfærden i ethvert område, der omfatter vores jødiske borgere og synagoger her i New York City og trestatsområdet."
15,Silkeborg kæmpede forgæves og er ude af Conference League,mailto:seba@dr.dk,"Silkeborgs europæiske fodboldeventyr er slut for denne omgang.Torsdag aften kæmpede det danske fodboldhold bravt, men også forgæves, da de tabte 2-0 mod belgiske Anderlecht. Dermed er de nu ude af Conference League.Silkeborgenserne skulle nemlig som minimum bruge et uafgjort resultat mod belgierne for at sikre andenpladsen i puljen, men i stedet led de et nederlag, og superligaholdet endte derfor på tredjepladsen.Nemme vilkår havde den jyske klub dog heller ikke, da de allerede midtvejs i første halvleg blev præsenteret for et direkte rødt kort til midtbanespilleren Anders Klynge efter at være kommet bagud.Derfra var det op ad bakke, men silkeborgenserne trykkede på og forsøgte at udligne.Det var de også tæt på at gøre ad flere omgange, men det blev aldrig til nogen dansk scoring, og derfor trak Anderlecht det længste strå."
16,"Ingen indikationer på 'beskidte bomber' i Ukraine, viser undersøgelse",mailto:NAHN@dr.dk,"Det internationale atomenergiagentur (IAEA), der hører under FN, har afsluttet en række undersøgelser i Ukraine.Ukraine anmodede IAEA om undersøgelserne, efter Rusland anklagede Ukraine for at forberede sig på at bruge beskidte bomber - et våben, der kombinerer sprængstoffer og radioaktivt materiale.IAEA finder dog ingen indikationer på ikke-erklærede nukleare aktiviteter eller stoffer, skriver IAEA's generaldirektør Rafael Grossi i en erklæring ifølge CNN.- I løbet af de sidste par dage har inspektørerne været i stand til at udføre alle aktiviteter, som IAEA havde planlagt at udføre, og de fik uhindret adgang til lokaliteterne. Baseret på evalueringen af de hidtil tilgængelige resultater og oplysningerne fra Ukraine, fandt agenturet ingen indikationer på ikke-erklærede nukleare aktiviteter og materialer på lokaliteterne, lød det i IAEA-erklæringen.Efter IAEA fremlagde resultaterne af undersøgelsen, kaldte Ukraines udenrigsminister Rusland for verdens største løgner. Han kalder beskyldningerne om beskidte bomber for russisk desinfo og takker IAEA for samarbejdet."
17,Scoring i sidste sekund giver GOG dramatisk håndboldsejr,mailto:seba@dr.dk,"Der var dramatik og spænding til det sidste i torsdagens Champions League-opgør mellem håndboldherrerne fra GOG og Magdeburg.Efter en underholdende og tætspillet kamp scorede Emil Madsen nemlig i absolut sidste sekund til 33-32, og det sendte sejren til det fynske håndboldhold.GOG's sejr betyder, at de nu er oppe på siden af Magdeburg i Champions Leagues gruppe A.Begge hold har syv point efter seks kampe på tredje- og fjerdepladsen. Gruppen føres af ungarske Vezprem, mens franske PSG ligger nummer to med tre point ned til GOG og Magdeburg."
18,"Tobias Rahim bliver årets store vinder til Danish Music Awards, der også bød på priser til Jada og The Minds of 99",mailto:nymh@dr.dk,"Tobias Rahim sikrede sig tre priser ved aftenens uddeling af Danish Music Awards.Det var for 'Årets danske solist', 'Årets danske streaminghit' (for 'Mucki Bar'), mens hans producer Arto Louis Eriksen tog statuetten for 'Årets danske producer' med hjem.The Minds of 99 tog prisen som 'Årets danske gruppe', Jada modtog 'Årets danske livenavn', Andreas Odbjerg fik 'Årets danske radiohit' (for 'Hjem fra fabrikken') og MØ vandt 'Årets danske sangskriver'.Også rapperne Lamin og Gili vandt priser for henholdsvis 'Årets nye navne navn' og 'Årets danske album' (for 'Carnival'), mens Sivas modtog årets ærespris.Priserne blev uddelt Moltkes Palæ i København med Sara Bro som vært."
19,Russer sender Clara Tauson ud af fransk tennisturnering,mailto:seba@dr.dk,"Det blev ikke til nogen semifinaleplads for Clara Tauson i denne omgang.Torsdag aften tabte den unge danske tennisspiller nemlig 6-7, 6-3, 2-6 mod russiske Kamilla Rakhimova i kvartfinalen af ITF-turneringen Engie Open Nantes Atlantique.Dermed er hun ude af den franske turnering.2022 har ikke været Clara Tausons år.Hun har blandt andet døjet med en rygskade og har derfor været tvunget til at melde afbud til flere turneringer.Det har da også resulteret i, at hun er røget ned som nummer 135 på verdensranglisten efter at have været nummer 44 ved nytår."
20,'Orkestret' bliver den store vinder ved prisuddeling,mailto:NAHN@dr.dk,"Den danske seriebranche er blevet hædret ved Nordens største seriepris - Series Awards - her til aften.Der var særligt prisregn over DR-serien'Orkestret' med Frederik Cilius og Rasmus Bruun i hovedrollerne.Dramaserien, der er instrueret af Mikkel Munch-Fals, vandt i kategorierne 'Bedste Komedie', 'Bedste Instruktion' og 'Bedste Skuespilpræstation'. Det var bestemt af en jury bestående af Ann Lind Andersen, Keld Reinicke, Pernille Bech Christensen, Rasmus Thorsen og Kim Leona.'Orkestret' har tilsyneladende også ramt publikums hjerter, for også publikumsprisen, Aarhus Seriepris, kommer med holdet bag 'Orkestret' hjem.Juryen havde dog også rigeligt med hæder at dele ud af til andre.'Badehotellet' blev hædret med prisen for 'Bedste Fortløbende Serie', mens 'Borgen - Riget, Magten og Æren' vandt 'Bedste Manuskript'.Årets 'Bedste Serie' gik til instruktør Jonas Risvigs Viaplay-serie 'Drenge'.'Talentprisen' gik til 26-årige Marie Reuther for sin hovedrolle i Danmarks første HBO-serie 'Kamikaze' blandt andet med begrundelsen, at man sidder målløs tilbage efter en tour de force af en præstation.Series Awards er arrangeret af mediefestivalen THIS, publikumsfestivalen Aarhus Series og Filmby Aarhus."
21,Danskere sørger for vigtige scoringer i fodboldeuropa,mailto:seba@dr.dk,"Flere danskere fik en hovedrolle i torsdagens tidlige europæiske fodboldkampe.Danske Jens Odgaard var således på pletten for sin hollandske klub AZ Aklmaar, der vandt 2-1 mod ukrainske Dnipro i Conference League, mens midtbanespilleren Andrew Hjulsager også scorede i samme turnering.Midtbanespilleren scorede til 1-0 for sin belgiske klub, Gent, der slog norske Molde med 4-0.I Europa Leage var Christian Eriksen med fra start for Manchester United, der slog spanske Real Sociedad med 1-0.Den danske landsholdsspiller blev skiftet ud efter 83 minutter.Også FC Midtjylland vandt 2-0 i deres Europa League-opgør torsdag aften, og det kan du læse om <a href=https://www.dr.dk/sporten/fodbold/europaleague/fcm-sniger-sig-videre-og-kan-moede-europaeiske-mastodonter-til-foraaret her</a>."
22,Iranere går på gaden for at markere demonstrants død: Meldinger om skud,mailto:mold@dr.dk,"Iranske sikkerhedsstyrker har skudt mod folk, som er på gaden for at markere afslutningen på 40 dages sørgetid for Hadis Najafi, der døde under en demonstration.<a href=http://www.bbc.com/news/world-middle-east-63498820 Det skriver BBC med henvisning til flere vidner</a>.Videoer på sociale medier har i dag vist tusindvis gå langs motorveje for at nå ned til byen Karaj til kvindens grav. Hun er blevet endnu et symbol på kampen mod styret i Iran.<i>Videoen nedenfor viser en mindre del af demonstranterne:</i>Iranske statsmedier skriver, at demonstranter har såret betjente og dræbt en militssoldat, men vidner fortæller en anden historie til BBC. De fortæller, at de iranske styrker angreb demonstranter med skud, tåregas og macheter.22-årige Hadis Najafis døde den 21. september. Her havde hun optaget en video til det sociale medie TikTok, før hun gik til demonstration mod styret. Hendes familie siger, at hun blev skudt og dræbt af sikkerhedsstyrker. Embedsmænd bad angiveligt hendes far om at sige, at hun døde af et hjerteanfald, skriver BBC.Dagens meldinger om skud mod demonstranter er ikke enestående. <a href=http://www.dr.dk/nyheder/udland/brutal-video-peger-paa-ekstrem-vold-mod-iranske-demonstranter Blandt andet Amnesty International peger på voldsomme overgreb begået af de iranske sikkerhedsstyrker</a>."
23,"Stoltenberg mener, Sverige og Finland har gjort sig fortjent til Nato - Tyrkiet tøver fortsat",mailto:NAHN@dr.dk,"Det er på tide at give Finland og Sverige fuldt medlemskab af Nato.Det mener Natos generalsekretær, Jens Stoltenberg, ifølge Reuters.- I disse farlige tider er det endnu vigtigere at gøre deres tiltrædelse endelig for at forhindre enhver misforståelse eller fejlberegning i Moskva, sagde han på et pressemøde med Tyrkiets udenrigsminister i dag.Men Tyrkiets udenrigsminister, Mevlut Cavusoglu, er mere tilbageholdende. Han siger, at Finland og Sverige endnu ikke har opfyldt Tyrkiets krav for fuldt medlemskab.Sverige og Finland underskrev et forståelsespapir med Tyrkiet i juni, hvilket resulterede i, at Nato-medlemmet Tyrkiet <a href=https://www.dr.dk/nyheder/seneste/sverige-og-finland-har-kurs-nato-efter-tyrkiet-har-droppet-sin-modstand-mod-de-lande ophævede et veto mod deres ansøgninger</a> om at blive medlem af den transatlantiske sikkerhedsalliance. Tyrkiet mener dog ikke, at Finland og Sverige har opfyldt deres del af aftalen tilstrækkeligt til at blive medlemmer endnu.Sverige rykker dog tættere på fuldt medlemskab, sagde Mevlut Cavusoglu i dag."
24,Mangeårig Barcelona-profil lægger støvlerne på hylden,mailto:seba@dr.dk,"Den 35-årige Barcelona-spiller Gerard Pique spiller snart sin sidste professionelle fodboldkamp.Torsdag aften har den mangeårige Barcelona-profil nemlig annonceret, at han lægger støvlerne på hylden, når den spanske storklub lørdag møder Almeria i den bedste spanske fodboldrække.Det fortæller den spanske forsvarsspiller i en video på sin Instagram-profil.-Det er 25 år siden, jeg kom til Barca. Jeg tog væk, og jeg kom tilbage. Fodbold har givet mig alt. Barca har givet mig alt. I, Barcelona-fans, har givet mig alt.- Jeg har altid sagt, at der ikke vil være andre hold efter Barca. Og sådan bliver det. Kampen lørdag bliver min sidste på Camp Nou. Jeg vil blive en normal fan. Jeg vil give min kærlighed til Barca videre til mine børn, siger Pique blandt andet i <a href=https://www.instagram.com/p/CkgeEf6jTq4/?hl=da videoen</a>.Gerard Piques karriere startede og sluttede i Barcelona, og han var kun kortvarigt et smut forbi Manchester United som helt ung fra 2004 til 2008.Her fik spanieren dog aldrig den store succes, men det gjorde han i dén grad efter sin tilbagevenden til Barcelona.615 optræderne for den spanske storklub er det blevet til, og ud over at have vundet det spanske mesterskab hele otte gange har Gerard Pique også været med til at triumfere i Champions League tre gange for klubben."
25,Israels premierminister lykønsker Netanyahu med valgsejr,mailto:mold@dr.dk,"Nok har de flestes øjne været på det danske valg den seneste tid, men i Israel var borgerne også ved stemmeurnerne den 1. november.Nu ønsker Israels premierminister, Yair Lapid, landets tidligere mangeårige leder Benjamin Netanyahu tillykke med sejren ved valget, skriver Reuters.- Premierminister Lapid lykønsker oppositionsleder Netanyahu med hans sejr ved valget, og han har meddelt ham, at han giver instruktion til hele sit kontor om at forberede en velordnet overdragelse af magten, hedder det i en erklæring fra Lapids kontor ifølge Ritzau.Det bekræfter, at premierministeren har tabt kampen.Valget har givet Netanyahu og hans parti, Likud, mulighed for at samle et flertal til en ny regering, der vil blive meget højreorienteret.Den nye regering vil nemlig basere sig på stemmer fra et parti, hvor lederen er dømt for racisme, og som blandt andet har truet med at fordrive de arabere, der bor i Israel, skriver Ritzau."
26,"Radikales nye leder, Martin Lidegaard, har ikke talt med Mette Frederiksen endnu",mailto:NAHN@dr.dk,"Martin Lidegaard er ny leder for De Radikale, efter Sofie Carsten Nielsen gik af i går.Det har han netop afsløret på et pressemøde.Martin Lidegaard blev på pressemødet spurgt, om han har nået at tale med Mette Frederiksen og fortælle hende, at han er den nye nummer ét i partiet.- Nej, det har jeg simpelthen ikke nået. Jeg har sendt en SMS til statsministeren og sagt, at jeg glæder mig til samarbejdet, sagde han.Martin Lidegaard fastslår ved pressemødet, at han og De Radikale fortsat vil arbejde for en bred regering.Samira Nawa bliver partiets næstformand.Læs mere i vores <a href=https://www.dr.dk/nyheder/politik/folketingsvalg/live-foelg-folketingsvalget-2022 liveblog</a>."
27,"Tidligere pakistansk premierminister blev udsat for 'attentatforsøg', siger talsperson",mailto:NAHN@dr.dk,"Det var et klart attentatforsøg, da den tidligere pakistanske premierminister Imran Khan i dag blev skudt i skinnebenet <a href=https://www.dr.dk/nyheder/seneste/pakistans-tidligere-premierminister-er-blevet-skudt-i-foden-under-protestmarch ved en demonstration.</a>Det mener talsperson for Khans parti, Fawas Chaudhry, ifølge nyhedsbureauet Reuters.- Det var et tydeligt attentatforsøg. Hvis skytten ikke var blevet stoppet af folk der, ville hele PTI-ledelsen være blevet udslettet, siger han.Pakistans præsident, Arif Alvi, kalder ifølge Ritzau episoden et afskyeligt attentatforsøg på Twitter.- Jeg takker Allah for, at han (Khan, red.) nu er i sikkerhed. Angrebet er chokerende, alarmerende og kujonagtigt, skriver han.Ifølge AP viser en video fra politiet, at den formodede gerningsmand siger, at Imran Khan var hans eneste mål, og at han arbejdede alene. Gerningsmanden blev ifølge AP anholdt efter episoden.Imran Khan, <a href=https://www.dr.dk/nyheder/seneste/parkistans-premierminister-traeder-tilbage der måtte gå af som premierminister efter en mistillidsafstemning i april</a>, er blevet opereret efter angrebet og er uden for livsfare."
28,Storebæltsbroen får vindafskærmninger for at undgå uheld,mailto:NAHN@dr.dk,"Det sker fra tid til anden, at vindfølsomme køretøjer vælter på Storebæltsbroen.Men det skal nye afskærmninger på broen, der forbinder Fyn og Sjælland, nu afhjælpe.Sund &amp; Bælt, der står for den daglige drift af broen, har underskrevet en kontrakt med DAV Nordic A/S, som skal opsætte vindafskærmninger udvalgte steder for at mindske antallet af uheld. Det skriver de i en <a href=https://sundogbaelt.dk/nyheder-presse/nyheder/2022/afskaermning-pa-storebaeltsbroen-skal-oge-sikkerheden-i-kraftig-blaest/ pressemeddelelse</a>.- En stor del af uheldene sker omkring pyloner og ankerblokke, og især når der er kraftig blæst på tværs af broen, siger Kim Agersø Nielsen, teknisk chef i Sund &amp; Bælt.- Vi opsætter derfor vindafskærmningerne på disse steder for at reducere den særlige kraftige vind, som skabes her, så trafikanterne undgår den pludselige bevægelse i køretøjet.Opsætningen af vindafskærmningerne forventes at være udført ved udgangen af februar næste år."
29,DMI varsler risiko for vindstød af stormstyrke langs den jyske vestkyst,mailto:mold@dr.dk,"Blæsten går frisk over Limfjordens vande i morgen, og derfor varsler Danmarks Meteorologiske Institut (DMI), at der er risiko for stormende kuling fra vest med vindstød af stormstyrke.Faktisk er der risiko for det langs hele den jyske vestkyst, hvor Thy, Mors, Jammerbugt, Skive, Struer og Hjørring netop er blevet omfattet.- I løbet af natten udvikles et relativt hidsigt lavtryk i frontzonen vest for Jylland, og den bevæger sig i løbet af fredagen mod nordøst, op langs Vestkysten og over Skagerrak til Oslo, skriver vagthavende Martin Lindberg på DMI's hjemmeside.DMI understreger dog, at der er tale om en risiko for og ikke et decideret varsel.- Prognosen er endnu noget usikker, og modelkørslerne er ikke helt enige om udviklingen."
